appid,name,publisher,score,genre_Accounting,genre_Action,genre_Adventure,genre_Animation&Modeling,genre_AudioProduction,genre_Casual,genre_Design&Illustration,genre_Documentary,genre_EarlyAccess,genre_Education,genre_FreetoPlay,genre_GameDevelopment,genre_Gore,genre_Indie,genre_MassivelyMultiplayer,genre_Movie,genre_Nudity,genre_PhotoEditing,genre_RPG,genre_Racing,genre_SexualContent,genre_Simulation,genre_SoftwareTraining,genre_Sports,genre_Strategy,genre_Tutorial,genre_Utilities,genre_VideoProduction,genre_Violent,genre_WebPublishing,genre_nan
570,Dota 2,Valve,79.95039932081391,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
730,Counter-Strike: Global Offensive,Valve,79.06077126566342,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.",53.715250760078085,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271590,Grand Theft Auto V,Rockstar Games,51.74978619805727,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Team Fortress 2,Valve,48.06048388765746,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252490,Rust,Facepunch Studios,43.03911571361225,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
282590,Star Ruler 2,Blind Mind Studios,40.70647091301944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600720,Trackmania² Lagoon,Ubisoft,40.59298262474703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
359550,Tom Clancy's Rainbow Six Siege,Ubisoft,38.51619062079229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552990,World of Warships,Wargaming Group Limited,38.48099861990185,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
408760,Pro Cycling Manager 2016,Focus Home Interactive,38.08846497254893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4000,Garry's Mod,Valve,37.99974461254372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
704230,Pro Cycling Manager 2018,Focus Home Interactive,37.17311179952634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
105600,Terraria,Re-Logic,37.0240574160136,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
228180,Action! - Gameplay Recording and Streaming,Mirillis,36.69361663610171,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
252950,Rocket League,Psyonix LLC,36.56390189609835,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
304930,Unturned,Smartly Dressed Games,35.67375282087673,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230410,Warframe,Digital Extremes,35.549471913793326,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39210,FINAL FANTASY XIV Online,Square Enix,35.32626849759659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218620,PAYDAY 2,Starbreeze Publishing AB,34.545761709273016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216260,Don Bradman Cricket 14,Big Ant Studios,34.45313918985251,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
550,Left 4 Dead 2,Valve,34.08357268757034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381210,Dead by Daylight,Behaviour Interactive Inc.,34.06810058550345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815780,PIPE by BMX Streets,Mash Games,34.008093902585856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
346110,ARK: Survival Evolved,Studio Wildcard,33.30758332976194,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227300,Euro Truck Simulator 2,SCS Software,33.16274072075495,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
942030,Marvelous Designer 8 for Steam,CLO Virtual Fashion,32.590454891282256,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787860,Farming Simulator 19,Focus Home Interactive,32.096289479466535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
325420,Homebrew - Patent Unknown,Copybugpaste,31.991847375478635,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
427520,Factorio,Wube Software LTD.,31.6685953613602,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
292030,The Witcher 3: Wild Hunt,CD PROJEKT RED,31.579659169972278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
413150,Stardew Valley,ConcernedApe,31.37326415455718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
431960,Wallpaper Engine,Wallpaper Engine Team,31.296825683557984,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
945360,Among Us,Innersloth,30.893315625446757,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354640,The Settlers Online,Ubisoft,30.87789119950077,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
236390,War Thunder,Gaijin Distribution KFT,30.638923132246383,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8930,Sid Meier's Civilization V,"2K, Aspyr (Mac), Aspyr (Linux)",30.53071355139828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
377160,Fallout 4,Bethesda Softworks,30.44038073437792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250900,The Binding of Isaac: Rebirth,"Nicalis, Inc.",30.388969208471583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374320,DARK SOULS III,"FromSoftware, Inc., BANDAI NAMCO Entertainment",30.35940544402224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582010,Monster Hunter: World,"CAPCOM Co., Ltd.",30.312645001973564,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394360,Hearts of Iron IV,Paradox Interactive,30.28615694592712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
294100,RimWorld,Ludeon Studios,30.103374907877903,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
72850,The Elder Scrolls V: Skyrim,Bethesda Softworks,29.909331573042287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
322330,Don't Starve Together,Klei Entertainment,29.86866072111626,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
594570,Total War: WARHAMMER II,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",29.852014394422795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49520,Borderlands 2,"2K, Aspyr (Mac), Aspyr (Linux)",29.565183486079093,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107410,Arma 3,Bohemia Interactive,29.46583402532758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
447020,Farming Simulator 17,GIANTS Software,29.44012506894107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
620,Portal 2,Valve,29.37709627777102,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616720,Live2DViewerEX,Pavo Studio,29.367493969862668,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,29.173040841073828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291550,Brawlhalla,Ubisoft,28.96722075570125,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212200,Mabinogi,Nexon America Inc.,28.89162859372012,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
236850,Europa Universalis IV,Paradox Interactive,28.65755107843885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
